order_id,customer_id,order_date,status,total_amount
ORD0000045,CUST000014,2025-12-03 14:40:23,delivered,1790.65
ORD0000046,CUST000148,2025-11-11 10:34:01,shipped,3300.84
ORD0000047,CUST000058,2025-12-11 04:46:44,processing,4234.6
ORD0000048,CUST000095,2024-09-27 21:39:04,delivered,2891.8
ORD0000049,CUST000110,2025-11-27 01:52:56,returned,4101.21
ORD0000050,CUST000158,2025-08-18 18:09:42,delivered,179.96
ORD0000051,CUST000169,2025-12-11 04:59:58,shipped,943.06
ORD0000052,CUST000180,2025-02-06 16:40:47,canceled,1787.57
ORD0000053,CUST000047,2024-07-30 20:22:35,delivered,2033.88
ORD0000054,CUST000037,2025-09-30 13:11:54,returned,504.2
ORD0000055,CUST000136,2025-05-24 18:52:10,shipped,2295.55
ORD0000056,CUST000041,2025-02-19 12:23:37,shipped,1655.7
ORD0000057,CUST000146,2025-10-04 03:35:43,processing,310.41
ORD0000058,CUST000041,2025-08-30 23:26:33,pending,453.83
ORD0000059,CUST000114,2025-11-17 21:32:03,shipped,3055.03
ORD0000060,CUST000107,2025-03-22 18:50:53,shipped,2586.11
ORD0000061,CUST000089,2025-04-10 07:03:34,processing,3407.18
ORD0000062,CUST000152,2025-09-30 06:08:13,shipped,1576.68
ORD0000063,CUST000057,2025-11-13 11:39:13,returned,321.17
ORD0000064,CUST000053,2025-09-09 14:22:56,canceled,3848.38
ORD0000065,CUST000196,2024-10-08 11:13:08,shipped,643.92
ORD0000066,CUST000128,2025-10-24 17:32:19,shipped,689.47
ORD0000067,CUST000137,2025-11-01 02:31:27,shipped,2815.68
ORD0000068,CUST000172,2025-07-02 10:12:46,processing,4315.73
ORD0000069,CUST000011,2025-09-06 10:08:32,pending,4609.75
ORD0000070,CUST000081,2025-09-26 13:48:54,shipped,2051.89
ORD0000071,CUST000164,2024-11-11 09:38:36,shipped,2054.91
ORD0000072,CUST000084,2025-07-09 14:55:28,delivered,3109.72
ORD0000073,CUST000177,2025-11-22 22:53:54,processing,4230.2
ORD0000074,CUST000063,2024-11-17 12:02:55,delivered,2643.61
ORD0000075,CUST000102,2025-06-02 21:28:48,delivered,1146.78
ORD0000076,CUST000200,2025-02-02 21:17:22,processing,3184.46
ORD0000077,CUST000136,2025-09-16 06:47:00,shipped,3892.33
ORD0000078,CUST000090,2025-07-01 06:43:47,shipped,774.9
ORD0000079,CUST000051,2024-07-27 05:27:28,delivered,3813.07
ORD0000080,CUST000168,2025-02-08 08:59:36,shipped,3875.6
ORD0000081,CUST000127,2025-05-23 15:17:17,delivered,3811.39
ORD0000082,CUST000115,2025-07-22 10:16:42,canceled,2844.23
ORD0000083,CUST000163,2025-08-18 05:20:19,canceled,3154.73
ORD0000084,CUST000039,2025-08-20 02:42:42,processing,2238.93
ORD0000085,CUST000078,2025-11-16 12:14:02,shipped,328.05
ORD0000086,CUST000130,2024-09-05 09:36:55,shipped,2286.97
ORD0000087,CUST000015,2025-10-16 11:05:05,delivered,429.82
ORD0000088,CUST000024,2025-11-17 00:10:46,delivered,1953.19
ORD0000089,CUST000149,2025-06-23 18:35:02,returned,3707.66
ORD0000090,CUST000011,2025-09-16 22:03:48,canceled,2879.7
ORD0000091,CUST000049,2025-07-12 23:03:33,delivered,2531.77
ORD0000092,CUST000016,2025-05-09 03:43:04,processing,4500.68
ORD0000093,CUST000088,2025-09-18 19:26:24,processing,3248.33
ORD0000094,CUST000011,2025-04-13 00:41:50,delivered,4955.38
ORD0000095,CUST000135,2025-09-05 04:04:36,delivered,1851.29
ORD0000096,CUST000073,2025-08-13 18:15:56,shipped,1724.92
ORD0000097,CUST000154,2025-02-07 18:37:20,delivered,3254.16
ORD0000098,CUST000017,2025-11-14 12:09:36,processing,3407.98
ORD0000099,CUST000073,2025-04-30 13:50:21,delivered,3299.99
ORD0000100,CUST000155,2025-06-15 19:10:44,shipped,2934.56
ORD0000101,CUST000037,2025-02-22 11:08:55,shipped,3297.47
ORD0000102,CUST000170,2025-10-30 21:21:50,processing,3558.73
ORD0000103,CUST000022,2025-07-17 10:01:51,delivered,3235.29
ORD0000104,CUST000085,2025-11-24 04:45:31,processing,3529.01
ORD0000105,CUST000190,2025-10-30 00:31:12,processing,3368.76
ORD0000106,CUST000131,2025-05-21 11:33:28,pending,1578.89
ORD0000107,CUST000055,2025-04-14 00:35:26,canceled,2457.04
ORD0000108,CUST000058,2025-10-03 07:02:09,shipped,1514.17
ORD0000109,CUST000026,2025-10-12 12:23:30,delivered,4183.84
ORD0000110,CUST000135,2025-02-28 19:32:38,delivered,4388.14
ORD0000111,CUST000159,2025-08-28 20:25:23,delivered,813.55
ORD0000112,CUST000047,2025-09-30 17:33:14,delivered,4054.77
ORD0000113,CUST000043,2025-09-08 13:19:46,shipped,2083.75
ORD0000114,CUST000174,2025-10-29 20:15:57,shipped,2248.78
ORD0000115,CUST000073,2025-09-30 12:55:16,shipped,1233.88
ORD0000116,CUST000121,2024-12-05 12:19:56,shipped,4738.29
ORD0000117,CUST000113,2025-09-22 06:10:51,delivered,3901.71
ORD0000118,CUST000129,2025-08-20 13:44:12,shipped,852.19
ORD0000119,CUST000052,2025-02-17 11:12:27,canceled,308.29
ORD0000120,CUST000124,2025-11-03 03:00:00,delivered,557.82
ORD0000121,CUST000133,2024-11-03 06:56:58,shipped,3827.43
ORD0000122,CUST000070,2025-11-06 07:04:25,canceled,779.38
ORD0000123,CUST000112,2025-03-30 00:20:25,canceled,1149.09
ORD0000124,CUST000116,2025-11-04 21:40:02,canceled,2103.74
ORD0000125,CUST000102,2025-08-16 08:33:25,shipped,1961.52
ORD0000126,CUST000021,2025-09-05 07:14:04,shipped,1627.49
ORD0000127,CUST000026,2025-12-06 18:27:12,shipped,772.94
ORD0000128,CUST000010,2025-08-28 09:06:17,canceled,2388.65
ORD0000129,CUST000036,2025-11-24 14:13:27,shipped,75.99
ORD0000130,CUST000021,2025-04-20 01:55:27,shipped,4183.07
ORD0000131,CUST000141,2025-11-26 10:05:32,delivered,2662.47
ORD0000132,CUST000029,2025-11-30 23:56:41,shipped,1540.7
ORD0000133,CUST000013,2025-05-02 19:51:34,shipped,3979.8
ORD0000134,CUST000118,2025-09-17 04:03:49,processing,4530.48
ORD0000135,CUST000153,2025-10-06 13:30:04,pending,2601.11
ORD0000136,CUST000062,2024-10-13 22:03:31,shipped,57.74
ORD0000137,CUST000091,2025-10-13 15:09:28,delivered,977.2
ORD0000138,CUST000172,2024-12-05 20:01:05,shipped,1834.99
ORD0000139,CUST000135,2025-09-13 10:55:24,shipped,4942.24
ORD0000140,CUST000142,2025-04-15 14:40:16,shipped,2377.17
ORD0000141,CUST000163,2025-09-11 22:48:53,returned,1305.57
ORD0000142,CUST000005,2025-08-14 22:47:34,delivered,1756.77
ORD0000143,CUST000188,2025-05-31 21:15:04,delivered,3689.18
ORD0000144,CUST000086,2025-07-01 18:57:11,pending,2752.77
ORD0000145,CUST000165,2025-02-10 18:18:51,delivered,3439.18
ORD0000146,CUST000179,2025-08-20 23:48:45,delivered,4066.91
ORD0000147,CUST000017,2025-12-03 06:17:43,delivered,2315.51
ORD0000148,CUST000076,2025-06-06 00:12:42,pending,1037.38
ORD0000149,CUST000011,2025-06-04 17:33:07,canceled,2601.15
ORD0000150,CUST000140,2025-08-20 15:59:39,shipped,3778.79
ORD0000151,CUST000049,2025-06-29 04:57:34,shipped,3915.17
ORD0000152,CUST000168,2025-05-19 00:24:44,shipped,4006.74
ORD0000153,CUST000112,2025-07-27 17:58:52,delivered,4478.46
ORD0000154,CUST000099,2025-05-15 16:31:48,returned,2506.21
ORD0000155,CUST000128,2025-08-12 00:09:40,canceled,2620.42
ORD0000156,CUST000022,2025-08-31 01:08:32,processing,3032.14
ORD0000157,CUST000047,2025-06-08 06:21:18,shipped,557.86
ORD0000158,CUST000084,2025-08-26 16:30:52,shipped,3032.98
ORD0000159,CUST000110,2025-09-11 12:12:49,delivered,1790.16
ORD0000160,CUST000011,2025-07-03 10:36:05,delivered,2202.96
ORD0000161,CUST000164,2025-08-28 17:28:46,canceled,421.45
ORD0000162,CUST000164,2024-11-02 11:34:16,shipped,4015.43
ORD0000163,CUST000174,2025-07-13 04:20:44,returned,756.76
ORD0000164,CUST000156,2025-08-02 13:48:19,pending,382.81
ORD0000165,CUST000200,2025-08-07 03:31:58,shipped,1945.13
ORD0000166,CUST000146,2025-06-16 15:55:03,delivered,3411.36
ORD0000167,CUST000095,2025-04-15 14:51:57,shipped,430.58
ORD0000168,CUST000036,2025-11-30 10:50:58,shipped,1606.21
ORD0000169,CUST000072,2025-03-21 19:33:25,returned,178.27
ORD0000170,CUST000048,2025-10-10 17:12:06,shipped,4572.04
ORD0000171,CUST000031,2024-11-07 22:24:49,delivered,3534.99
ORD0000172,CUST000055,2025-07-27 22:31:23,shipped,4586.57
ORD0000173,CUST000126,2025-08-01 12:24:59,processing,4271.49
ORD0000174,CUST000116,2025-10-01 13:07:11,canceled,2253.3
ORD0000175,CUST000023,2025-09-24 20:31:44,delivered,3562.23
ORD0000176,CUST000141,2025-06-24 19:57:17,shipped,1534.79
ORD0000177,CUST000041,2025-11-11 23:11:15,delivered,3516.09
ORD0000178,CUST000045,2025-11-29 20:16:35,shipped,650.74
ORD0000179,CUST000052,2025-02-17 20:07:28,shipped,2495.41
ORD0000180,CUST000093,2025-09-21 15:19:47,delivered,2363.66
ORD0000181,CUST000142,2025-05-28 02:41:49,delivered,476.77
ORD0000182,CUST000080,2025-06-12 20:55:18,returned,3608.4
ORD0000183,CUST000135,2025-07-23 16:35:59,delivered,4125.53
ORD0000184,CUST000019,2025-11-14 19:00:03,returned,3229.58
ORD0000185,CUST000116,2025-11-27 11:25:22,delivered,1755.35
ORD0000186,CUST000200,2025-07-01 16:41:58,delivered,950.72
ORD0000187,CUST000034,2025-01-01 02:28:18,shipped,4347.65
ORD0000188,CUST000032,2025-10-29 14:02:52,shipped,865.05
ORD0000189,CUST000083,2025-01-26 12:03:48,shipped,4707.48
ORD0000190,CUST000073,2024-12-17 02:21:09,shipped,3193.53
ORD0000191,CUST000142,2025-07-23 07:12:38,processing,1548.98
ORD0000192,CUST000137,2024-07-15 02:46:22,shipped,884.75
ORD0000193,CUST000149,2024-08-16 23:46:03,shipped,3141.17
ORD0000194,CUST000155,2025-08-27 12:26:26,delivered,2839.91
ORD0000195,CUST000008,2025-03-04 09:25:16,pending,3225.2
ORD0000196,CUST000148,2025-08-09 03:54:40,delivered,3846.45
ORD0000197,CUST000107,2024-09-15 03:13:09,shipped,3154.46
ORD0000198,CUST000075,2025-11-21 21:27:52,shipped,4033.21
ORD0000199,CUST000176,2025-01-08 05:13:38,shipped,411.22
ORD0000200,CUST000016,2024-09-24 00:11:29,shipped,2447.04
ORD0000201,CUST000053,2025-09-24 15:46:29,delivered,1597.28
ORD0000202,CUST000184,2024-12-26 09:34:01,delivered,4310.85
ORD0000203,CUST000103,2024-10-20 21:53:37,delivered,2599.15
ORD0000204,CUST000028,2024-11-11 02:28:11,shipped,656.48
ORD0000205,CUST000116,2025-10-16 03:52:06,processing,300.5
ORD0000206,CUST000099,2025-07-16 03:01:33,shipped,4333.27
ORD0000207,CUST000041,2025-01-17 09:57:00,canceled,3619.59
ORD0000208,CUST000049,2025-05-10 23:23:30,shipped,2597.89
ORD0000209,CUST000128,2025-11-19 08:59:24,shipped,164.72
ORD0000210,CUST000101,2025-07-01 02:59:01,shipped,1241.61
ORD0000211,CUST000150,2025-04-26 10:44:14,pending,1442.71
ORD0000212,CUST000153,2025-11-21 11:15:47,delivered,1464.45
ORD0000213,CUST000003,2025-05-04 16:44:28,shipped,4418.16
ORD0000214,CUST000187,2025-01-22 03:49:17,delivered,1861.39
ORD0000215,CUST000103,2024-08-20 01:53:04,delivered,1013.54
ORD0000216,CUST000142,2025-07-28 19:06:16,processing,2546.06
ORD0000217,CUST000196,2025-05-25 02:04:09,shipped,4946.0
ORD0000218,CUST000175,2025-07-07 00:25:26,processing,4876.66
ORD0000219,CUST000101,2025-05-10 18:21:38,delivered,1728.47
ORD0000220,CUST000094,2025-02-27 20:42:57,shipped,2570.16
ORD0000221,CUST000129,2025-02-12 08:39:29,pending,728.33
ORD0000222,CUST000086,2025-11-10 23:06:03,shipped,787.26
ORD0000223,CUST000132,2025-08-04 04:22:06,shipped,3084.69
ORD0000224,CUST000042,2025-05-16 22:00:55,returned,3709.63
ORD0000225,CUST000077,2025-08-31 03:53:05,shipped,4150.03
ORD0000226,CUST000137,2025-05-19 00:32:40,delivered,1533.96
ORD0000227,CUST000005,2025-08-17 03:17:11,shipped,592.54
ORD0000228,CUST000107,2025-11-18 23:38:44,shipped,4498.9
ORD0000229,CUST000177,2025-10-21 09:48:46,delivered,1364.38
ORD0000230,CUST000168,2025-11-10 03:50:38,returned,2913.45
ORD0000231,CUST000059,2025-12-05 16:30:10,delivered,894.03
ORD0000232,CUST000162,2025-10-04 06:26:20,delivered,4213.78
ORD0000233,CUST000038,2025-10-16 13:54:22,pending,4743.62
ORD0000234,CUST000029,2025-11-02 13:55:05,pending,1602.78
ORD0000235,CUST000039,2025-07-30 07:04:22,delivered,2081.37
ORD0000236,CUST000199,2025-06-09 10:29:52,canceled,4370.45
ORD0000237,CUST000189,2024-11-23 12:33:44,delivered,2617.48
ORD0000238,CUST000144,2024-10-18 03:01:34,returned,2417.94
ORD0000239,CUST000097,2025-04-17 08:56:37,returned,2325.33
ORD0000240,CUST000137,2025-01-24 10:34:45,shipped,3395.55
ORD0000241,CUST000185,2025-09-23 06:33:16,delivered,3481.9
ORD0000242,CUST000157,2025-09-05 03:48:38,shipped,1270.27
ORD0000243,CUST000143,2025-02-21 18:08:31,shipped,4865.91
ORD0000244,CUST000077,2025-11-08 01:50:06,shipped,1076.03
ORD0000245,CUST000181,2025-10-27 21:35:28,shipped,1776.58
ORD0000246,CUST000185,2025-04-18 02:21:07,shipped,2888.71
ORD0000247,CUST000140,2025-07-15 06:35:41,canceled,2002.94
ORD0000248,CUST000089,2024-09-02 03:24:05,shipped,1473.77
ORD0000249,CUST000183,2025-01-11 06:09:08,shipped,2239.76
ORD0000250,CUST000066,2025-11-30 17:52:01,shipped,1050.24
ORD0000251,CUST000138,2025-05-17 04:21:41,canceled,3496.05
ORD0000252,CUST000036,2025-10-20 15:38:05,delivered,2954.81
ORD0000253,CUST000063,2024-01-23 12:47:09,delivered,2678.66
ORD0000254,CUST000164,2024-06-20 19:39:06,processing,2095.84
ORD0000255,CUST000184,2025-04-24 07:19:30,processing,3865.29
ORD0000256,CUST000002,2025-03-08 12:08:26,returned,831.81
ORD0000257,CUST000168,2025-07-13 20:29:31,shipped,1037.31
ORD0000258,CUST000074,2025-08-26 07:56:21,shipped,342.85
ORD0000259,CUST000197,2025-11-23 11:34:30,delivered,1199.49
ORD0000260,CUST000190,2024-10-15 03:07:35,canceled,916.57
ORD0000261,CUST000046,2024-08-02 13:31:12,returned,2015.12
ORD0000262,CUST000127,2025-02-04 19:28:56,canceled,4812.55
ORD0000263,CUST000075,2025-10-27 04:50:12,pending,2861.41
ORD0000264,CUST000028,2024-11-23 11:21:22,shipped,4946.04
ORD0000265,CUST000140,2025-09-09 10:35:29,shipped,4695.87
ORD0000266,CUST000130,2025-07-08 07:08:27,shipped,4053.63
ORD0000267,CUST000085,2025-03-16 11:53:00,delivered,3259.01
ORD0000268,CUST000184,2024-09-14 00:04:49,pending,1718.71
ORD0000269,CUST000076,2025-10-26 05:21:07,delivered,1006.15
ORD0000270,CUST000157,2025-11-16 09:17:58,delivered,2057.18
ORD0000271,CUST000110,2025-11-18 04:58:28,shipped,2034.12
ORD0000272,CUST000025,2025-03-16 22:14:25,returned,2413.4
ORD0000273,CUST000064,2025-02-15 12:04:58,shipped,1215.83
ORD0000274,CUST000193,2025-07-20 07:10:14,returned,1544.63
ORD0000275,CUST000186,2025-07-13 18:58:20,pending,3285.73
ORD0000276,CUST000178,2025-07-10 05:15:00,processing,635.21
ORD0000277,CUST000079,2024-06-07 18:05:48,shipped,2537.48
ORD0000278,CUST000181,2025-09-23 07:56:02,delivered,3211.62
ORD0000279,CUST000076,2025-08-09 11:00:17,delivered,1134.69
ORD0000280,CUST000035,2024-12-23 08:21:25,shipped,3751.29
ORD0000281,CUST000156,2025-06-13 10:32:37,shipped,2768.71
ORD0000282,CUST000121,2025-08-29 07:39:52,delivered,4136.74
ORD0000283,CUST000196,2024-10-02 05:04:48,delivered,2999.28
ORD0000284,CUST000021,2025-11-02 18:52:20,shipped,3533.64
ORD0000285,CUST000020,2025-08-18 05:02:43,processing,4152.43
ORD0000286,CUST000130,2024-12-13 19:04:36,delivered,791.77
ORD0000287,CUST000084,2025-11-21 22:53:06,shipped,3417.46
ORD0000288,CUST000184,2025-07-19 07:44:19,shipped,4499.5
ORD0000289,CUST000115,2025-10-29 12:08:36,processing,703.12
ORD0000290,CUST000107,2025-08-12 09:59:23,delivered,2816.05
ORD0000291,CUST000173,2025-06-01 04:08:39,delivered,2009.95
ORD0000292,CUST000001,2025-10-30 00:19:54,shipped,411.5
ORD0000293,CUST000109,2025-09-21 00:47:54,delivered,2728.76
ORD0000294,CUST000016,2024-07-16 19:58:06,returned,2386.75
ORD0000295,CUST000074,2025-09-29 09:21:19,shipped,720.37
ORD0000296,CUST000165,2025-09-13 23:50:09,delivered,2130.79
ORD0000297,CUST000098,2025-09-18 05:59:12,canceled,4538.5
ORD0000298,CUST000097,2024-10-18 00:08:22,delivered,3325.87
ORD0000299,CUST000139,2025-09-28 04:54:53,delivered,1771.46
ORD0000300,CUST000046,2025-08-26 15:19:13,shipped,680.37
ORD0000301,CUST000058,2025-12-09 23:45:39,pending,162.54
ORD0000302,CUST000077,2025-07-11 09:28:44,delivered,2745.0
ORD0000303,CUST000137,2025-02-22 03:22:00,delivered,1275.18
ORD0000304,CUST000089,2024-09-08 20:33:38,shipped,4690.18
ORD0000305,CUST000186,2025-09-26 14:15:05,processing,4056.92
ORD0000306,CUST000108,2025-11-05 02:25:54,delivered,4424.6
ORD0000307,CUST000005,2025-07-23 08:12:03,shipped,549.44
ORD0000308,CUST000009,2025-10-29 21:51:35,delivered,3531.27
ORD0000309,CUST000013,2025-05-05 06:31:47,delivered,2041.21
ORD0000310,CUST000060,2025-10-23 19:27:58,shipped,4325.46
ORD0000311,CUST000015,2025-09-24 06:24:12,shipped,1481.85
ORD0000312,CUST000188,2025-12-01 08:46:17,shipped,3009.69
ORD0000313,CUST000173,2025-06-10 21:04:41,shipped,4387.48
ORD0000314,CUST000170,2025-11-12 10:38:19,shipped,1537.48
ORD0000315,CUST000016,2025-07-30 15:20:10,canceled,4404.58
ORD0000316,CUST000045,2025-12-03 00:49:56,delivered,282.08
ORD0000317,CUST000089,2025-09-23 01:10:09,delivered,3939.73
ORD0000318,CUST000082,2025-09-12 02:48:34,shipped,1534.45
ORD0000319,CUST000048,2025-11-29 07:19:19,shipped,1242.79
ORD0000320,CUST000058,2025-10-19 03:15:07,canceled,764.54
ORD0000321,CUST000119,2025-12-08 08:32:41,processing,2092.75
ORD0000322,CUST000107,2025-10-29 11:13:38,shipped,1972.67
ORD0000323,CUST000066,2025-05-03 11:24:11,shipped,441.4
ORD0000324,CUST000116,2025-11-09 01:49:45,processing,3636.69
ORD0000325,CUST000049,2025-03-30 02:34:08,shipped,3384.68
ORD0000326,CUST000155,2025-05-03 18:12:28,canceled,981.41
ORD0000327,CUST000195,2025-12-02 03:20:13,delivered,2816.31
ORD0000328,CUST000123,2025-03-21 09:52:53,canceled,1698.17
ORD0000329,CUST000004,2024-11-12 02:02:49,canceled,4812.28
ORD0000330,CUST000031,2025-11-19 17:22:50,returned,2420.66
ORD0000331,CUST000063,2025-06-07 09:51:48,delivered,1062.34
ORD0000332,CUST000062,2025-08-27 05:05:47,shipped,1451.14
ORD0000333,CUST000120,2025-10-27 23:46:16,delivered,1576.69
ORD0000334,CUST000093,2025-09-05 15:16:20,canceled,2356.72
ORD0000335,CUST000185,2025-07-03 05:30:39,delivered,1635.15
ORD0000336,CUST000053,2025-10-06 12:10:14,shipped,276.29
ORD0000337,CUST000057,2025-11-30 06:45:36,processing,1340.83
ORD0000338,CUST000150,2025-07-23 07:31:11,delivered,1511.2
ORD0000339,CUST000051,2024-11-25 16:20:10,shipped,2870.46
ORD0000340,CUST000063,2025-01-05 22:06:14,delivered,4720.15
ORD0000341,CUST000087,2024-12-20 16:52:37,delivered,2468.67
ORD0000342,CUST000186,2025-08-09 12:23:38,delivered,2331.1
ORD0000343,CUST000188,2025-09-05 09:33:13,shipped,3615.55
ORD0000344,CUST000126,2025-07-29 09:14:33,canceled,2733.58
ORD0000345,CUST000165,2024-12-27 13:47:15,shipped,4203.39
ORD0000346,CUST000020,2025-11-24 18:53:10,delivered,3833.48
ORD0000347,CUST000106,2024-07-11 13:00:10,delivered,1195.6
ORD0000348,CUST000182,2024-05-13 09:05:01,pending,2553.38
ORD0000349,CUST000096,2024-12-11 11:36:31,delivered,3350.44
ORD0000350,CUST000158,2025-11-19 02:22:58,shipped,2464.88
ORD0000351,CUST000002,2025-02-22 09:59:06,delivered,108.66
ORD0000352,CUST000136,2025-12-07 17:00:35,shipped,4888.52
ORD0000353,CUST000005,2025-09-12 03:06:39,delivered,3386.46
ORD0000354,CUST000046,2024-09-26 11:01:37,canceled,2645.71
ORD0000355,CUST000062,2024-11-20 11:27:55,delivered,1299.47
ORD0000356,CUST000091,2025-10-18 19:52:14,delivered,441.15
ORD0000357,CUST000104,2025-11-09 03:13:48,delivered,4951.65
ORD0000358,CUST000058,2025-10-19 01:28:37,delivered,4246.94
ORD0000359,CUST000168,2025-12-09 09:49:56,delivered,206.84
ORD0000360,CUST000104,2025-10-09 04:03:28,shipped,2406.23
ORD0000361,CUST000164,2023-12-30 07:25:39,delivered,459.3
ORD0000362,CUST000112,2025-10-30 20:28:45,delivered,2850.99
ORD0000363,CUST000025,2025-07-28 06:45:18,canceled,1187.34
ORD0000364,CUST000178,2025-11-15 13:33:42,shipped,280.48
ORD0000365,CUST000020,2025-10-03 21:56:59,canceled,4501.59
ORD0000366,CUST000145,2025-08-23 22:10:45,pending,4647.39
ORD0000367,CUST000081,2025-02-21 01:17:41,returned,2955.83
ORD0000368,CUST000193,2025-09-09 06:59:28,canceled,1531.42
ORD0000369,CUST000145,2025-03-14 17:31:11,delivered,4254.74
ORD0000370,CUST000174,2025-12-03 04:51:59,shipped,1950.04
ORD0000371,CUST000190,2025-01-02 20:42:18,delivered,3462.09
ORD0000372,CUST000021,2025-10-24 04:31:22,delivered,1762.0
ORD0000373,CUST000026,2025-09-15 02:20:19,shipped,426.29
ORD0000374,CUST000155,2025-12-05 17:04:23,shipped,3879.1
ORD0000375,CUST000008,2025-10-05 02:49:25,shipped,4963.3
ORD0000376,CUST000126,2025-08-06 22:43:11,shipped,4708.66
ORD0000377,CUST000111,2025-06-19 02:05:29,delivered,3320.33
ORD0000378,CUST000022,2025-11-14 10:26:11,shipped,1269.93
ORD0000379,CUST000019,2025-11-12 16:33:57,shipped,1931.0
ORD0000380,CUST000163,2025-06-13 14:47:04,delivered,1617.56
ORD0000381,CUST000028,2024-05-18 07:46:59,pending,1575.92
ORD0000382,CUST000093,2025-12-11 03:44:22,shipped,705.91
ORD0000383,CUST000048,2025-09-27 11:59:54,shipped,2795.96
ORD0000384,CUST000105,2025-03-11 07:53:57,pending,1801.88
ORD0000385,CUST000024,2025-11-02 23:04:20,delivered,1655.93
ORD0000386,CUST000099,2024-09-03 22:28:30,shipped,1969.61
ORD0000387,CUST000022,2025-10-22 11:46:37,canceled,4891.96
ORD0000388,CUST000147,2025-11-27 06:44:40,shipped,1934.62
ORD0000389,CUST000036,2025-11-05 03:44:42,shipped,2490.96
ORD0000390,CUST000017,2025-11-06 14:51:11,shipped,2134.46
ORD0000391,CUST000124,2025-09-06 23:30:21,shipped,4723.9
ORD0000392,CUST000185,2025-09-01 15:16:45,shipped,3102.51
ORD0000393,CUST000118,2025-09-21 10:58:34,processing,83.5
ORD0000394,CUST000102,2025-06-11 10:00:01,delivered,1930.46
ORD0000395,CUST000085,2025-07-02 08:30:08,shipped,4086.6
ORD0000396,CUST000167,2025-07-19 23:36:49,processing,1637.29
ORD0000397,CUST000178,2025-06-26 10:49:19,shipped,929.3
ORD0000398,CUST000102,2025-06-06 08:05:25,shipped,3490.04
ORD0000399,CUST000126,2025-10-13 11:18:35,delivered,1663.14
ORD0000400,CUST000072,2025-07-11 03:18:01,shipped,4663.73
ORD0000401,CUST000052,2025-03-21 17:21:29,delivered,2772.99
ORD0000402,CUST000187,2025-04-06 14:29:38,canceled,1087.76
ORD0000403,CUST000075,2025-10-30 06:41:07,delivered,3988.5
